iter	Passed	Remaining
0	2673	2671221
1	4909	2449965
2	7225	2401166
3	9418	2345136
4	11563	2301159
5	13665	2263996
6	15698	2226927
7	17776	2204264
8	19912	2192551
9	22061	2184094
10	24205	2176253
11	26237	2160225
12	28359	2153128
13	30447	2144372
14	32483	2133109
15	34502	2121905
16	36528	2112232
17	38570	2104240
18	40713	2102111
19	42788	2096616
20	44914	2093857
21	46972	2088127
22	48983	2080742
23	51006	2074266
24	53060	2069340
25	55053	2062370
26	57057	2056176
27	59070	2050597
28	61083	2045254
29	63066	2039153
30	65081	2034318
31	67068	2028811
32	69059	2023638
33	71063	2019036
34	73057	2014288
35	75003	2008424
36	77010	2004354
37	79061	2001514
38	81100	1998403
39	83100	1994419
40	85092	1990342
41	87103	1986787
42	89086	1982684
43	91107	1979508
44	93132	1976487
45	95154	1973412
46	97142	1969722
47	99156	1966607
48	101180	1963736
49	103264	1962032
50	105230	1958119
51	107286	1955921
52	109304	1953036
53	111382	1951261
54	113363	1947798
55	115387	1945106
56	117389	1942067
57	119371	1938750
58	121362	1935621
59	123511	1935008
60	125547	1932606
61	127567	1929971
62	129669	1928569
63	131696	1926055
64	133751	1923971
65	135711	1920521
66	137753	1918268
67	139863	1916946
68	141806	1913355
69	143802	1910518
70	145821	1908007
71	147780	1904724
72	149746	1901569
73	151725	1898622
74	153709	1895755
75	155677	1892711
76	157613	1889311
77	159566	1886154
78	161536	1883231
79	163557	1880910
80	165533	1878094
81	167504	1875238
82	169476	1872410
83	171451	1869640
84	173520	1867898
85	175531	1865528
86	177601	1863796
87	179640	1861731
88	181668	1859547
89	183698	1857391
90	185721	1855171
91	187699	1852509
92	189713	1850213
93	191735	1848006
94	193680	1845058
95	195668	1842540
96	197700	1840450
97	199712	1838170
98	201754	1836167
99	203728	1833560
100	205702	1830958
101	207683	1828424
102	209695	1826180
103	211665	1823578
104	213675	1821332
105	215681	1819053
106	217649	1816459
107	219619	1813890
108	221593	1811374
109	223575	1808929
110	225552	1806452
111	227586	1804436
112	229525	1801670
113	231555	1799636
114	233560	1797397
115	235583	1795308
116	237602	1793188
117	239679	1791502
118	241662	1789118
119	243597	1786379
120	245597	1784133
121	247592	1781852
122	249553	1779337
123	251552	1777093
124	253538	1774768
125	255540	1772558
126	257517	1770182
127	259469	1767634
128	261451	1765304
129	263461	1763163
130	265565	1761651
131	267642	1759950
132	269744	1758406
133	271797	1756541
134	273854	1754697
135	275921	1752913
136	277936	1750796
137	280013	1749068
138	282153	1747728
139	284197	1745782
140	286241	1743841
141	288296	1741960
142	290263	1739551
143	292255	1737297
144	294295	1735330
145	296429	1733911
146	298929	1734606
147	301063	1733146
148	303067	1730941
149	305123	1729034
150	307198	1727231
151	309255	1725318
152	311268	1723165
153	313245	1720818
154	315246	1718603
155	317269	1716510
156	319378	1714880
157	321442	1713006
158	323457	1710864
159	325473	1708733
160	327482	1706570
161	329527	1704591
162	331530	1702398
163	333540	1700245
164	335629	1698490
165	337638	1696330
166	339777	1694817
167	341812	1692785
168	343833	1690683
169	345849	1688557
170	347889	1686552
171	349912	1684464
172	351977	1682576
173	354004	1680505
174	356047	1678510
175	358095	1676538
176	360147	1674582
177	362191	1672590
178	364165	1670278
179	366184	1668172
180	368189	1666005
181	370235	1664026
182	372276	1662019
183	374293	1659909
184	376315	1657824
185	378455	1656252
186	380623	1654795
187	382722	1653035
188	384797	1651167
189	386905	1649439
190	388977	1647554
191	391095	1645859
192	393179	1644020
193	395294	1642306
194	397331	1640264
195	399359	1638186
196	401412	1636214
197	403436	1634123
198	405488	1632141
199	407548	1630193
200	409556	1628036
201	411656	1626245
202	413696	1624216
203	415717	1622115
204	417770	1620133
205	419806	1618088
206	421840	1616036
207	423885	1614025
208	425918	1611967
209	427941	1609873
210	429919	1607615
211	431965	1605606
212	434013	1603609
213	436042	1601540
214	438002	1599220
215	440027	1597135
216	442058	1595079
217	444075	1592966
218	446077	1590806
219	448148	1588889
220	450244	1587059
221	452329	1585189
222	454339	1583056
223	456361	1580965
224	458377	1578855
225	460399	1576765
226	462414	1574653
227	464441	1572581
228	466497	1570611
229	468551	1568630
230	470644	1566779
231	472658	1564662
232	474667	1562533
233	476699	1560478
234	478728	1558412
235	480735	1556280
236	482779	1554265
237	484858	1552361
238	486890	1550307
239	488925	1548263
240	490935	1546141
241	492933	1543980
242	494986	1541996
243	497182	1540451
244	499305	1538675
245	501675	1537654
246	503912	1536219
247	506014	1534365
248	508192	1532742
249	510651	1531954
250	513116	1531170
251	515342	1529668
252	517488	1527921
253	519513	1525814
254	521672	1524103
255	524033	1522972
256	526348	1521699
257	529130	1521762
258	531289	1520020
259	533298	1517849
260	535368	1515851
261	537392	1513725
262	539421	1511611
263	541496	1509627
264	543586	1507683
265	545607	1505547
266	547592	1503314
267	549667	1501331
268	551677	1499166
269	553722	1497100
270	555733	1494943
271	557735	1492762
272	559738	1490586
273	561910	1488856
274	563989	1486880
275	566018	1484773
276	568190	1483038
277	570249	1481008
278	572455	1479356
279	574415	1477069
280	576397	1474838
281	578549	1473045
282	580589	1470962
283	582724	1469123
284	584803	1467139
285	586823	1465006
286	588814	1462803
287	590811	1460616
288	592818	1458457
289	594762	1456142
290	596706	1453831
291	598665	1451558
292	600709	1449493
293	602737	1447390
294	604682	1445088
295	606666	1442882
296	608654	1440686
297	610656	1438526
298	612641	1436326
299	614786	1434502
300	616778	1432320
301	618760	1430115
302	620793	1428030
303	622855	1426010
304	624960	1424090
305	626970	1421953
306	628978	1419810
307	630960	1417611
308	632984	1415508
309	635058	1413516
310	637037	1411314
311	639055	1409199
312	641052	1407038
313	643107	1405005
314	645112	1402862
315	647088	1400659
316	649101	1398536
317	651089	1396361
318	653100	1394235
319	655086	1392057
320	657100	1389942
321	659120	1387837
322	661150	1385754
323	663178	1383669
324	665200	1381571
325	667185	1379396
326	669227	1377339
327	671411	1375575
328	673483	1373579
329	675543	1371557
330	677562	1369453
331	679654	1367498
332	681661	1365369
333	683678	1363264
334	685768	1361302
335	687872	1359366
336	689880	1357243
337	691917	1355176
338	694045	1353286
339	696080	1351215
340	698144	1349199
341	700150	1347073
342	702158	1344951
343	704184	1342862
344	706174	1340707
345	708157	1338541
346	710183	1336454
347	712142	1334243
348	714139	1332105
349	716172	1330034
350	718176	1327910
351	720197	1325818
352	722210	1323711
353	724221	1321601
354	726260	1319543
355	728326	1317534
356	730367	1315480
357	732406	1313421
358	734392	1311269
359	736400	1309157
360	738419	1307063
361	740473	1305033
362	742473	1302908
363	744493	1300817
364	746493	1298693
365	748532	1296639
366	750543	1294534
367	752582	1292478
368	754596	1290379
369	756570	1288213
370	758655	1286238
371	760692	1284179
372	762699	1282070
373	766506	1282975
374	768837	1281396
375	771144	1279771
376	773457	1278154
377	775795	1276573
378	778512	1275609
379	780869	1274050
380	783263	1272546
381	785597	1270941
382	787883	1269252
383	790266	1267718
384	792604	1266108
385	794929	1264472
386	797274	1262867
387	799641	1261290
388	801995	1259689
389	804333	1258060
390	806697	1256467
391	809081	1254902
392	811415	1253255
393	813697	1251524
394	816093	1249965
395	818345	1248183
396	820639	1246462
397	822904	1244694
398	825271	1243077
399	827703	1241555
400	830001	1239827
401	832329	1238142
402	834689	1236499
403	837026	1234821
404	839339	1233103
405	841715	1231475
406	844085	1229834
407	846466	1228206
408	848888	1226633
409	851241	1224956
410	853567	1223239
411	856010	1221685
412	858325	1219944
413	860678	1218254
