iter	RMSE
0	3866271.241
1	3659887.645
2	3467719.514
3	3295978.882
4	3139993.897
5	2998696.846
6	2871633.258
7	2758565.197
8	2651887.358
9	2556391.064
10	2475169.802
11	2400114.699
12	2333197.072
13	2269744.693
14	2214829.119
15	2164329.17
16	2119476.239
17	2079251.76
18	2042095.537
19	2009165.513
20	1980768.076
21	1952658.632
22	1928074.892
23	1906412.168
24	1885496.289
25	1866377.811
26	1849906.931
27	1834401.543
28	1821088.475
29	1808102.012
30	1796762.999
31	1786002.004
32	1774999.43
33	1765454.323
34	1756804.455
35	1748594.042
36	1742082.718
37	1735422.022
38	1729220.467
39	1723804.513
40	1716910.791
41	1711550.066
42	1707641.578
43	1704140.811
44	1699650.076
45	1696052.993
46	1692824.742
47	1689231.124
48	1685550.24
49	1682196.098
50	1679373.694
51	1676379.881
52	1674093.959
53	1671363.942
54	1668941.188
55	1665839.503
56	1664022.178
57	1662221.521
58	1658973.398
59	1656346.378
60	1654177.147
61	1652946.575
62	1651613.733
63	1649652.631
64	1647689.011
65	1646361.943
66	1644327.782
67	1643133.575
68	1641841.063
69	1640878.45
70	1639398.59
71	1637872.034
72	1636973.202
73	1635476.323
74	1634393.09
75	1632594.691
76	1630901.232
77	1629570.146
78	1628758.657
79	1627681.195
80	1626794.473
81	1626012.279
82	1625165.789
83	1623793.633
84	1622858.564
85	1620100.146
86	1618216.795
87	1617295.809
88	1616197.893
89	1615165.423
90	1614649.692
91	1614180.309
92	1612052.39
93	1610874.24
94	1610076.464
95	1609616.838
96	1609038.523
97	1608325.818
98	1606379.168
99	1605274.011
100	1604774.417
101	1603135.518
102	1601903.233
103	1601363.527
104	1600086.696
105	1599608.167
106	1598409.418
107	1596992.361
108	1596407.548
109	1594973.466
110	1593542.783
111	1592380.645
112	1591673.117
113	1591182.728
114	1590364.108
115	1588876.532
116	1587507.159
117	1587128.753
118	1586679.458
119	1585384.07
120	1584656.587
121	1583989.689
122	1583413.356
123	1582540.071
124	1582004.804
125	1580989.24
126	1580389.672
127	1579860.635
128	1579476.957
129	1578348.688
130	1577847.31
131	1576529.788
132	1576015.274
133	1574820.521
134	1574179.353
135	1573215.799
136	1572472.598
137	1571726.254
138	1570889.585
139	1570280.972
140	1569252.008
141	1568903.411
142	1567926.716
143	1566977.66
144	1566462.581
145	1565770.243
146	1564891.267
147	1564568.611
148	1564080.762
149	1563240.589
150	1562039.667
151	1561380.507
152	1560546.6
153	1560105.735
154	1559739.871
155	1559046.458
156	1558299.895
157	1557833.557
158	1557297.885
159	1556830.93
160	1556426.145
161	1555589.513
162	1554883.583
163	1554107.87
164	1553480.076
165	1552801.525
166	1552473.31
167	1551914.761
168	1551281.766
169	1550740.466
170	1550064.83
171	1549669.382
172	1548906.384
173	1548064.583
174	1547491.036
175	1546760.928
176	1546504.7
177	1545569.613
178	1544868.071
179	1543896.271
180	1542973.205
181	1542333.215
182	1541743.758
183	1541363.363
184	1540752.608
185	1540440.413
186	1539722.628
187	1539058.437
188	1538545.91
189	1538069.831
190	1537778.899
191	1537107.491
192	1536771.939
193	1536162.708
194	1535910.997
195	1535055.267
196	1534597.925
197	1534077.336
198	1533635.086
199	1533041.155
200	1532526.835
201	1532249.055
202	1531582.083
203	1530930.027
204	1530466.962
205	1529661.037
206	1529312.876
207	1528985.942
208	1528721.318
209	1527975.82
210	1527380.712
211	1527216.408
212	1526868.262
213	1526114.907
214	1525524.735
215	1524843.44
216	1524104.04
217	1523539.736
218	1523083.788
219	1522047.135
220	1521005.922
221	1520481.34
222	1520307.089
223	1519726.647
224	1519410.726
225	1519034.24
226	1518567.439
227	1518021.575
228	1517592.139
229	1516693.779
230	1516287.635
231	1516106.519
232	1515869.342
233	1515544.733
234	1515374.271
235	1514891.803
236	1514490.706
237	1513844.301
238	1513466.517
239	1513149.101
240	1512982.488
241	1512328.668
242	1511913.245
243	1511306.987
244	1511152.679
245	1510715.251
246	1509998.454
247	1509466.111
248	1508993.087
249	1508529.196
250	1508066.41
251	1507463.502
252	1506952.024
253	1506200.307
254	1505689.625
255	1505444.106
256	1505209.6
257	1504952.276
258	1504466.537
259	1504110.301
260	1503739.225
261	1503311.332
262	1502966.538
263	1502642.647
264	1502159.794
265	1501825.452
266	1501459.144
267	1501087.903
268	1500788.761
269	1500404.376
270	1500139.366
271	1499840.769
272	1499536.412
273	1499108.567
274	1498655.468
275	1498384.826
276	1498054.514
277	1497508.281
278	1497132.071
279	1496824.866
280	1496318.196
281	1495792.953
282	1495182.778
283	1494976.321
284	1494480.685
285	1493969.661
286	1493776.633
287	1493372.163
288	1493020.947
289	1492747.82
290	1492280.222
291	1491953.066
292	1491608.022
293	1491355.196
294	1490980.119
295	1490416.765
296	1490017.831
297	1489880.128
298	1489633.551
299	1489359.975
300	1488985.169
301	1488624.966
302	1488414.559
303	1488076.328
304	1487660.873
305	1487415.958
306	1487116.845
307	1486840.86
308	1486636.968
309	1486174.114
310	1485921.781
311	1485674.765
312	1485143.183
313	1484702.055
314	1484127.398
315	1483852.769
316	1483434.816
317	1483117.907
318	1482863.379
319	1482582.032
320	1482172.811
321	1481658.059
322	1481319.363
323	1480635.458
324	1480234.496
325	1479799.033
326	1479567.535
327	1479277.311
