iter	Passed	Remaining
0	18	18571
1	36	18210
2	53	17905
3	71	17900
4	89	17820
5	107	17856
6	124	17718
7	142	17706
8	161	17757
9	179	17785
10	197	17780
11	215	17725
12	232	17686
13	256	18036
14	277	18210
15	296	18253
16	314	18196
17	331	18067
18	348	17980
19	364	17867
20	380	17745
21	396	17642
22	413	17575
23	430	17521
24	447	17465
25	465	17426
26	482	17382
27	499	17337
28	516	17284
29	535	17329
30	560	17534
31	580	17553
32	598	17532
33	616	17503
34	632	17448
35	650	17409
36	668	17397
37	682	17272
38	703	17326
39	721	17317
40	739	17294
41	755	17242
42	773	17207
43	790	17169
44	806	17123
45	823	17080
46	840	17039
47	858	17021
48	876	17007
49	894	17000
50	912	16985
51	930	16963
52	948	16948
53	966	16925
54	984	16917
55	1003	16910
56	1020	16888
57	1038	16866
58	1056	16849
59	1074	16840
60	1092	16818
61	1110	16794
62	1127	16775
63	1146	16772
64	1156	16633
65	1174	16618
66	1192	16607
67	1211	16601
68	1230	16599
69	1249	16606
70	1268	16599
71	1287	16592
72	1305	16577
73	1322	16549
74	1331	16420
75	1348	16400
76	1366	16375
77	1382	16345
78	1399	16315
79	1416	16287
80	1433	16263
81	1449	16231
82	1466	16201
83	1483	16173
84	1500	16154
85	1522	16181
86	1541	16174
87	1560	16172
88	1578	16159
89	1596	16138
90	1613	16112
91	1629	16081
92	1645	16051
93	1662	16024
94	1680	16005
95	1696	15978
96	1712	15938
97	1728	15911
98	1745	15883
99	1761	15854
100	1779	15840
101	1796	15812
102	1812	15782
103	1829	15760
104	1846	15735
105	1862	15709
106	1879	15687
107	1896	15665
108	1913	15637
109	1930	15618
110	1947	15596
111	1964	15577
112	1981	15556
113	1998	15532
114	2015	15508
115	2032	15487
116	2049	15469
117	2067	15456
118	2085	15441
119	2104	15430
120	2121	15414
121	2139	15394
122	2155	15370
123	2173	15354
124	2190	15331
125	2209	15323
126	2226	15305
127	2244	15293
128	2263	15280
129	2280	15263
130	2299	15253
131	2317	15242
132	2336	15229
133	2354	15213
134	2371	15197
135	2389	15181
136	2407	15165
137	2424	15141
138	2440	15119
139	2457	15098
140	2475	15083
141	2492	15059
142	2509	15040
143	2526	15017
144	2544	15002
145	2561	14984
146	2580	14976
147	2600	14970
148	2618	14957
149	2637	14944
150	2655	14929
151	2673	14917
152	2690	14897
153	2709	14882
154	2727	14868
155	2745	14854
156	2765	14848
157	2783	14833
158	2802	14822
159	2819	14801
160	2835	14777
161	2852	14754
162	2869	14733
163	2885	14710
164	2902	14688
165	2919	14667
166	2936	14649
167	2954	14631
168	2972	14614
169	2989	14595
170	3006	14576
171	3023	14555
172	3041	14538
173	3060	14526
174	3076	14505
175	3094	14490
176	3112	14470
177	3128	14449
178	3145	14429
179	3164	14414
180	3181	14396
181	3200	14386
182	3221	14380
183	3240	14373
184	3259	14358
185	3277	14343
186	3295	14326
187	3312	14308
188	3329	14287
189	3347	14271
190	3365	14253
191	3385	14247
192	3404	14234
193	3423	14221
194	3441	14205
195	3459	14190
196	3478	14179
197	3496	14164
198	3517	14158
199	3535	14142
200	3552	14122
201	3570	14104
202	3587	14084
203	3604	14063
204	3621	14045
205	3639	14026
206	3657	14010
207	3674	13992
208	3691	13972
209	3709	13954
210	3727	13936
211	3744	13917
212	3761	13899
213	3779	13881
214	3797	13864
215	3814	13843
