iter	MultiClass
0	1.921726361
1	1.798110175
2	1.733265691
3	1.685059383
4	1.639160813
5	1.605870266
6	1.582653402
7	1.559486067
8	1.538010343
9	1.519272366
10	1.501641516
11	1.488922411
12	1.4749816
13	1.461310756
14	1.448022626
15	1.43744623
16	1.426243086
17	1.417641035
18	1.405485435
19	1.392915512
20	1.38325583
21	1.372076791
22	1.365282148
23	1.356009573
24	1.348386478
25	1.339761243
26	1.333169805
27	1.32455397
28	1.317198213
29	1.307943705
30	1.299522324
31	1.292465341
32	1.287550988
33	1.279504669
34	1.273960716
35	1.266551954
36	1.260093459
37	1.253271972
38	1.249063121
39	1.243719939
40	1.238750813
41	1.234365565
42	1.227149756
43	1.222383055
44	1.216885444
45	1.212218893
46	1.207119105
47	1.202205351
48	1.19786081
49	1.19321581
50	1.189309471
51	1.183658125
52	1.178600421
53	1.174662088
54	1.17055765
55	1.167772726
56	1.162337704
57	1.158900908
58	1.154587704
59	1.149170038
